name,tag,url,remarks,human_comments
video(15).mp4,폭력성,https://www.youtube.com/watch?v=1_rctzx_sWI&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=15,데드풀 영화 장면.,
video(16).mp4,약물,https://www.youtube.com/watch?v=I6V-UGRLAYw&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=16,담배,
video(17).mp4,약물,https://www.youtube.com/watch?v=qR2K__FCLb0&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=17,담배,
video(18).mp4,약물,https://www.youtube.com/watch?v=2yKTLXcQYxs&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=18,폭탄주 만드는,
video(19).mp4,약물,https://www.youtube.com/watch?v=6BFhouIWHXU&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=19,음주,
video(20).mp4,약물,https://www.youtube.com/watch?v=W3pQ3Z9JrI0&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=20,마약 연기. 영화 독전.,
video(21).mp4,모방위험,https://www.youtube.com/watch?v=DKSo9j-s1LU&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=21,"사실 호신술 영상인데, test용. ",
video(22).mp4,폭력성,https://www.youtube.com/watch?v=cXIqM-osD34&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=22,"약한, 단발성 폭력",
video(23).mp4,폭력성,https://www.youtube.com/watch?v=nY3Nsri3NOA&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=23,"협박, 폭력적 행동",
video(24).mp4,대사,https://www.youtube.com/watch?v=gT-ZPJW1j1c&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=24,"고든램지 욕, 영어.",
video(25).mp4,선정성,https://www.youtube.com/watch?v=sjnTsYDpzK0&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=25,"약한 노출, 노골적임, 특이한 연출",
video(26).mp4,폭력성,https://www.youtube.com/watch?v=E0Y8Sh1bKVw&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=26,동물,
video(27).mp4,폭력성,https://www.youtube.com/watch?v=CPcoag63jnQ&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=27,잔인함. 애니메이션,
video(28).mp4,폭력성,https://www.youtube.com/watch?v=cUm9J1-SQhg&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=28,잔인. 애니메이션,
video(29).mp4,폭력성,https://www.youtube.com/watch?v=92QfuCFybp8&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=29,유쾌. 꽁트,
video(30).mp4,폭력성,https://www.youtube.com/watch?v=DcaiLU0k-_o&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=31,선정성? 뮤비,
video(31).mp4,공포,https://www.youtube.com/watch?v=SH04s_kOKzg&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=32,조악한 3d 그래픽 ,
video(32).mp4,대사,https://www.youtube.com/watch?v=rc-Qi7PuSr4&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=33,인종차별,
video(33).mp4,주제,https://www.youtube.com/watch?v=80Y_sWW-KTk&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=34,폭력성. 게임 논란장면,
video(34).mp4,주제,https://www.youtube.com/watch?v=ysP3ttm22ng&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=35,나치 상징,
video(35).mp4,주제,https://www.youtube.com/watch?v=9k7MLkutyB0&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=36,나치 노래,
video(36).mp4,주제,https://www.youtube.com/watch?v=yBgOBMgXmTQ&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=37,조커 폭탄 테러 장면,
video(37).mp4,모방위험,https://www.youtube.com/watch?v=cVF71oim_XY&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=38,자살장면,
video(38).mp4,선정성,https://www.youtube.com/watch?v=jo13504_u9A&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=39,,
video(39).mp4,공포,https://www.youtube.com/watch?v=Mjx-2vXagSs&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=40,역겨움에 가까운 공포,
video(40).mp4,폭력성,https://www.youtube.com/watch?v=3XtQbxhtdWg&list=PLQSlHz0fAwCw6AFXdDQgXOS9FLKV3I2YT&index=41,공포.,
video(41).mp4,주제 및 내용,https://www.youtube.com/watch/OtahV9TTI2Q,,
video(42).mp4,주제 및 내용,https://www.youtube.com/watch/rwG7Z5rloWg,,
video(43).mp4,주제 및 내용,https://www.youtube.com/watch/fwQBgjsG72U,,
video(44).mp4,주제 및 내용,https://www.youtube.com/watch/y4IblBNdkBY,,
video(45).mp4,주제 및 내용,https://www.youtube.com/watch/9QTEgoLZjAc,,
video(46).mp4,주제 및 내용,https://www.youtube.com/watch/fa7ufpdxGGo,,
video(47).mp4,주제 및 내용,https://www.youtube.com/watch/DZog42CgyIA,,
video(48).mp4,주제 및 내용,https://www.youtube.com/watch/Hp4GkCONuv4,,
video(49).mp4,주제 및 내용,https://www.youtube.com/watch/rFt34sTQShs,,
video(50).mp4,주제 및 내용,https://www.youtube.com/watch/8Kwr4xeM_MM,,
video(51).mp4,선정성,https://www.youtube.com/watch/NaDdKsDoXcA,,
video(52).mp4,선정성,https://www.youtube.com/watch/WUGUXTcEUfo,,
video(53).mp4,선정성,https://www.youtube.com/watch/JyEAOUn45R0,,
video(54).mp4,선정성,https://www.youtube.com/watch/_sB7q-AuSHs,,
video(55).mp4,선정성,https://www.youtube.com/watch/c_NoolyQ47M,,
video(56).mp4,선정성,https://www.youtube.com/watch/m5VWNw1dWFM,,
video(57).mp4,선정성,https://www.youtube.com/watch/DB6RF0xi5Z8,,
video(58).mp4,선정성,https://www.youtube.com/watch/Trwbrbg3eYw,,
video(59).mp4,선정성,https://www.youtube.com/watch/8nysfH6ic7k,,
video(60).mp4,선정성,https://www.youtube.com/watch/iBu_gcp6jN8,,
video(61).mp4,폭력성,https://www.youtube.com/watch/l-pqL_sR_7w,,
video(62).mp4,폭력성,https://www.youtube.com/watch/DHYq7YMxmwg,,
video(63).mp4,폭력성,https://www.youtube.com/watch/W8RnuQAT2j4,,
video(64).mp4,폭력성,https://www.youtube.com/watch/lUfGDlNpFTE,,
video(65).mp4,폭력성,https://www.youtube.com/watch/qKSPPVaRTB8,,
video(66).mp4,폭력성,https://www.youtube.com/watch/TBs-Y5_2fLg,,
video(67).mp4,폭력성,https://www.youtube.com/watch/gibkl8yTBN0,,
video(68).mp4,폭력성,https://www.youtube.com/watch/eNwQfI0BZdE,,
video(69).mp4,폭력성,https://www.youtube.com/watch/G1_RpZ47EGU,,
video(70).mp4,폭력성,https://www.youtube.com/watch/Qvcx2gyTUTA,,
video(71).mp4,공포,https://www.youtube.com/watch/c69OYj1jMdQ,,
video(72).mp4,공포,https://www.youtube.com/watch/MQqgVytllRo,,
video(73).mp4,공포,https://www.youtube.com/watch/ctrYIJrJaH0,,
video(74).mp4,공포,https://www.youtube.com/watch/7oDmx8C4_6w,,
video(75).mp4,공포,https://www.youtube.com/watch/KDsBx3dmmc8,,
video(76).mp4,공포,https://www.youtube.com/watch/mfaXofpqmH8,,
video(77).mp4,공포,https://www.youtube.com/watch/n2LPnUNBqf0,,
video(78).mp4,공포,https://www.youtube.com/watch/A6r-pKXdoa4,,
video(79).mp4,공포,https://www.youtube.com/watch/I0BWlVeO4nI,,
video(80).mp4,공포,https://www.youtube.com/watch/jMqIvaFVzsI,,
video(81).mp4,언어,https://www.youtube.com/watch/-QrFQP-k3JY,,
video(82).mp4,언어,https://www.youtube.com/watch/9X2vBjWEbb4,,
video(83).mp4,언어,https://www.youtube.com/watch/ScWuSYp-dZc,,
video(84).mp4,언어,https://www.youtube.com/watch/YKl3iEwPUjM,,
video(85).mp4,언어,https://www.youtube.com/watch/Uj6t6J9Lbjo,,
video(86).mp4,언어,https://www.youtube.com/watch/8S7wiL8pTeg,,
video(87).mp4,언어,https://www.youtube.com/watch/jk1It7OA5eY,,
video(88).mp4,언어,https://www.youtube.com/watch/jQDxmwdrhmM,,
video(89).mp4,언어,https://www.youtube.com/watch/D0qDbhReE2M,,
video(90).mp4,언어,https://www.youtube.com/watch/5vl1dJPsFTo,,
video(91).mp4,약물,https://www.youtube.com/watch/Ix3XLxar5Uo,,
video(92).mp4,약물,https://www.youtube.com/watch/hQ5mSYZSsik,,
video(93).mp4,약물,https://www.youtube.com/watch/SBI3ZpceCOE,,
video(94).mp4,약물,https://www.youtube.com/watch/BPX9w_CuDz4,,
video(95).mp4,약물,https://www.youtube.com/watch/Y50kB2YrMdI,,
video(96).mp4,약물,https://www.youtube.com/watch/BItEiJsZ0ok,,
video(97).mp4,약물,https://www.youtube.com/watch/QgPCAS6O-kQ,,
video(98).mp4,약물,https://www.youtube.com/watch/diOsD46whNI,,
video(99).mp4,약물,https://www.youtube.com/watch/4hNxh7s6i1I,,
video(100).mp4,약물,https://www.youtube.com/watch/hM2hLMqG9F8,,
video(101).mp4,모방위험,https://www.youtube.com/watch/1D9X8_eH7n8,,
video(102).mp4,모방위험,https://www.youtube.com/watch/_740PMY1v4U,,
video(103).mp4,모방위험,https://www.youtube.com/watch/dZLtHii39Gg,,
video(104).mp4,모방위험,https://www.youtube.com/watch/Qj-_unx0Dg0,,
video(105).mp4,모방위험,https://www.youtube.com/watch/npghS9Z3gH0,,
video(106).mp4,모방위험,https://www.youtube.com/watch/HxFt8aRTZzU,,
video(107).mp4,모방위험,https://www.youtube.com/watch/DSyoNWvuRK8,,
video(108).mp4,모방위험,https://www.youtube.com/watch/807I3M4ESyA,,
video(109).mp4,모방위험,https://www.youtube.com/watch/PfcbEMsdE0s,,
video(110).mp4,모방위험,https://www.youtube.com/watch/1hnS01vks6A,,
